profile_record_id,profile,site_info_id,sample_id,soil_type_id
2554,157_66,780,,
2555,157c_60,781,,
2556,157c_63,782,,474.0
2557,157c_65,783,,
2565,158_59,785,,476.0
2571,158_63,787,,478.0
2572,158_64,788,,
2577,158c_60,790,,
2578,158c_62,791,,
2579,158c_63,792,,480.0
2580,159_55,793,,
2640,159c_60,800,,489.0
2641,159c_62,801,,
2642,159c_63,802,,490.0
2643,15c_63,803,,491.0
2658,16_63,805,,493.0
2659,16_66,806,,
2660,16_69,807,,
2661,160_55,808,,
2682,160_63,811,,496.0
2683,160_64,812,,
2694,160_70,814,,
2695,160c_60,815,,498.0
2696,160c_64,816,,
2705,161_61,818,,
2706,161_63,819,,502.0
2711,161c_60,821,,
2712,161c_62,822,,505.0
2713,161c_63,823,,506.0
2714,161c_64,824,,
2731,162_62,827,,
2736,162_64,829,,
2737,162_66,830,,
2738,162_70,831,,
2739,162c_60,832,,510.0
2740,162c_63,833,,511.0
2741,163_46,834,,
2776,163_63,839,,517.0
2777,163_66,840,,
2778,163_68,841,,
2783,163c_60,843,,519.0
2784,163c_63,844,,520.0
2785,164_46,845,,
2786,164_55,846,,
2818,164_62,850,,
2842,164_66,853,,
2849,164_70,855,,
2850,164c_60,856,,527.0
2851,164c_63,857,,528.0
2852,164c_64,858,,
2853,164c_65,859,,529.0
2854,165_46,860,,
2855,165_59,861,,531.0
2868,165_66,863,,
2874,165c_60,865,,
2875,165c_62,866,,
2876,165c_63,867,,534.0
2877,165c_64,868,,
2878,165c_65,869,,
2879,166_46,870,,
2880,166_56,871,,
2881,166_59,872,,535.0
2882,166_60,873,,
2883,166_63,874,,536.0
2884,166_64,875,,
2885,166_66,876,,
2894,166_68,878,,538.0
2895,166c_60,879,,539.0
2896,166c_63,880,,540.0
2897,167_55,881,,
2898,167_56,882,,
2910,167_63,884,,543.0
2911,167_64,885,,
2912,167_66,886,,
2913,167c_63,887,,544.0
2914,168_46,888,,
2920,168_57,890,,
2921,168_59,891,,546.0
2922,168_60,892,,
2923,168_61,893,,
2932,168_63,895,,548.0
2947,168_65,897,,
2948,168_66,898,,
2949,168_68,899,,
2950,168_70,900,,
2951,168c_62,901,,
2952,168c_63,902,,550.0
2953,168c_64,903,,
2954,169_54,904,,
2965,169_59,906,,553.0
2966,169_61,907,,
2975,169_66,909,,
2976,169c_62,910,,556.0
2977,169c_63,911,,557.0
2978,16c_63,912,,558.0
2993,17_59,915,,562.0
3015,17_66,918,,
3016,17_70,919,,
3017,170_54,920,,
3034,170_59,923,,567.0
3035,170_61,924,,
3048,170_64,926,,
3059,170_66,928,,
3064,170c_63,930,,571.0
3065,171_57,931,,
3075,171_62,933,,
3090,171c_63,936,,576.0
3091,172_55,937,,
3126,172_63,942,,581.0
3127,172_65,943,,
3128,172_66,944,,
3129,172c_60,945,,582.0
3130,172c_63,946,,583.0
3131,172c_64,947,,
3132,173_46,948,,
3142,173_59,950,,585.0
3155,173_65,952,,
3156,173_66,953,,
3163,173c_60,955,,
3164,173c_62,956,,
3165,173c_63,957,,588.0
3166,174_56,958,,
3178,174_59,960,,590.0
3190,174_62,962,,
3205,174_66,964,,
3217,174c_62,966,,
3218,174c_63,967,,594.0
3219,174c_64,968,,
3220,175_46,969,,
3221,175_56,970,,
3222,175_57,971,,
3234,175_60,973,,
3235,175_61,974,,
3236,175_63,975,,597.0
3249,175_66,977,,
3260,175_70,979,,
3261,175c_60,980,,600.0
3262,175c_62,981,,601.0
3263,175c_63,982,,602.0
3264,176_56,983,,
3281,176_59,986,,605.0
3282,176_60,987,,
3283,176_63,988,,606.0
3284,176_65,989,,
3303,176c_62,992,,
3304,176c_63,993,,609.0
3305,176c_65,994,,
3306,177_46,995,,
3316,177_57,997,,
3325,177_59,999,,612.0
3326,177_60,1000,,
3327,177_61,1001,,
3328,177_63,1002,,613.0
3339,177_65,1004,,
3340,177_66,1005,,
3354,177c_62,1007,,617.0
3355,177c_63,1008,,618.0
3356,178_46,1009,,
3357,178_57,1010,,
3367,178_59,1012,,621.0
3368,178_63,1013,,622.0
3369,178_66,1014,,
3370,178c_60,1015,,
3371,178c_63,1016,,623.0
3372,178c_65,1017,,624.0
3373,179_46,1018,,
3396,179_59,1022,,628.0
3405,179_61,1024,,
3406,179_62,1025,,
3419,179_66,1027,,
3420,17c_63,1028,,633.0
3421,17c_65,1029,,634.0
3422,18_55,1030,,
3430,18_60,1032,,
3431,18_63,1033,,637.0
3432,18_66,1034,,
3433,180_46,1035,,
3434,180_54,1036,,638.0
3456,180_59,1039,,642.0
3457,180_61,1040,,
3467,180_63,1042,,645.0
3468,180_66,1043,,
3473,180c_60,1045,,647.0
3474,180c_63,1046,,648.0
3475,181_46,1047,,
3493,181_59,1050,,651.0
3494,181_63,1051,,652.0
3495,181_64,1052,,
3496,181_65,1053,,
3497,181_66,1054,,
3498,181_68,1055,,
3499,181_70,1056,,
3500,181c_60,1057,,653.0
3501,181c_63,1058,,654.0
3502,182_46,1059,,
3503,182_56,1060,,
3504,182_57,1061,,
3522,182_61,1064,,
3534,182_63,1066,,658.0
3535,182_65,1067,,
3536,182_66,1068,,
3537,182_68,1069,,
3538,182c_60,1070,,659.0
3539,182c_62,1071,,660.0
3540,182c_63,1072,,661.0
3541,182c_64,1073,,
3542,183_46,1074,,
3577,183_61,1078,,
3578,183_63,1079,,665.0
3579,183_65,1080,,
3580,183_66,1081,,
3581,183c_62,1082,,666.0
3582,183c_63,1083,,667.0
3583,184_46,1084,,
3584,184_54,1085,,
3611,184_59,1089,,671.0
3622,184_61,1091,,
3637,184_66,1094,,
3638,184c_60,1095,,675.0
3639,184c_63,1096,,676.0
3640,185_46,1097,,
3659,185_59,1100,,679.0
3660,185_63,1101,,680.0
3661,185_65,1102,,
3662,185_66,1103,,
3663,185c_63,1104,,682.0
3664,185c_64,1105,,
3665,186_46,1106,,
3675,186_59,1108,,684.0
3676,186_63,1109,,685.0
3689,186_66,1111,,
3690,186c_60,1112,,
3691,186c_63,1113,,687.0
3692,186c_64,1114,,
3693,187_46,1115,,
3716,187_60,1118,,
3728,187_63,1120,,691.0
3729,187_65,1121,,
3730,187_66,1122,,
3731,187c_60,1123,,
3732,187c_63,1124,,692.0
3733,187c_64,1125,,
3734,188_56,1126,,693.0
3735,188_57,1127,,
3759,188_63,1130,,696.0
3772,188_66,1132,,
3773,188_68,1133,,
3774,188c_60,1134,,
3775,188c_62,1135,,698.0
3776,188c_63,1136,,699.0
3777,189_46,1137,,
3798,189_56,1140,,
3828,189_60,1144,,
3829,189_61,1145,,
3830,189_63,1146,,705.0
3831,189_66,1147,,
3832,189_68,1148,,
3833,189_70,1149,,
3834,189c_60,1150,,706.0
3835,189c_62,1151,,707.0
3836,189c_63,1152,,708.0
3837,18c_63,1153,,709.0
3838,18c_65,1154,,710.0
3866,19_63,1158,,715.0
3867,19_64,1159,,
3868,19_66,1160,,
3869,19_69,1161,,
3870,190_46,1162,,
3871,190_57,1163,,
3872,190_59,1164,,716.0
3873,190_60,1165,,
3874,190_63,1166,,717.0
3887,190_68,1168,,
3888,190c_63,1169,,719.0
3889,190c_64,1170,,
3890,191_46,1171,,
3891,191_59,1172,,720.0
3892,191_60,1173,,
3893,191_61,1174,,
3894,191_62,1175,,
3895,191_63,1176,,721.0
3905,191_66,1178,,
3906,191_70,1179,,
3907,191c_60,1180,,
3908,191c_62,1181,,
3909,191c_63,1182,,723.0
3912,192_57,1184,,
3913,192_59,1185,,725.0
3914,192_63,1186,,727.0
3915,192_65,1187,,
3916,192_66,1188,,
3917,192_68,1189,,728.0
3918,192c_60,1190,,729.0
3919,192c_62,1191,,730.0
3920,192c_63,1192,,731.0
3921,193_46,1193,,
3922,193_56,1194,,
3933,193_59,1196,,733.0
3934,193_60,1197,,
3935,193_63,1198,,734.0
3936,193_65,1199,,
3937,193_66,1200,,
3938,193_70,1201,,
3939,193c_60,1202,,
3940,193c_62,1203,,735.0
3941,193c_63,1204,,736.0
3942,193c_65,1205,,737.0
3943,194_46,1206,,
3944,194_54,1207,,
3945,194_56,1208,,
3956,194_59,1210,,739.0
3957,194_63,1211,,740.0
3958,194_65,1212,,
3959,194_66,1213,,741.0
3960,194_68,1214,,
3961,194c_60,1215,,
3962,194c_63,1216,,743.0
3963,195_46,1217,,
3968,195_59,1219,,745.0
3977,195_63,1221,,747.0
3978,195_66,1222,,
3979,195_68,1223,,
3980,195_70,1224,,
3981,195c_60,1225,,748.0
3982,195c_63,1226,,749.0
3983,196_46,1227,,
4015,196_59,1231,,753.0
4027,196_62,1233,,
4034,196_65,1235,,756.0
4035,196_66,1236,,
4036,196_70,1237,,
4037,196c_63,1238,,757.0
4038,196c_65,1239,,758.0
4039,197_54,1240,,
4060,197_63,1243,,761.0
4072,197_66,1245,,
4073,197_70,1246,,
4074,197c_53,1247,,
4075,197c_63,1248,,764.0
4076,198_46,1249,,
4086,198_57,1251,,
4087,198_59,1252,,766.0
4098,198_63,1254,,769.0
4119,198_70,1257,,
4120,198c_60,1258,,
4121,198c_63,1259,,772.0
4134,199_59,1262,,776.0
4146,199_65,1264,,
4147,199_66,1265,,
4148,199_70,1266,,
4149,199c_62,1267,,
4150,199c_63,1268,,778.0
4151,19c_60,1269,,
