site_info_id,ID,profile,X_coord,Y_coord,land_cover_id,climate_id,geology_id,topo_feature_id,sampling_date,districts_id,district
489,3133,134_66,19.1402357616,-15.11575844456,,,,,,,
490,161,134C_60,13.77636241913,-6.10937166214,,,,,,,Uige e Zaire
492,2119,135_46,15.59172344208,-12.52854537964,,,,,,,Huambo
494,1972,135_56,16.32860374451,-12.16694355011,,,,,,,Huambo
498,2274,135_62,16.90794944763,-12.95542526245,,,,,,,Bie
500,3132,135_66,19.09385009698,-15.04690472364,,,,,,,
504,1169,135C_62,15.08185863495,-9.84217071533,,,,,,,Cuanza Sul
506,2284,136_46,16.07848167419,-12.98127269745,,,,,,,Huambo
510,521,136_60,15.24956798553,-7.95311594009,,,,,,,Uige e Zaire
511,1548,136_61,15.84903812408,-11.06373214722,,,,,,,Cuanza Sul
512,2208,136_62,16.88751220703,-12.73237323761,,,,,,,Bie
514,3131,136_66,19.06630860861,-14.98239965878,,,,,,,
515,2201,136_69,13.94140434265,-12.71216201782,,,,,,,Benguela
522,2206,137_62,16.93388938904,-12.7262430191,,,,,,,Bie
524,2518,137_64,21.2288684845,-13.87519264221,,,,,,,Moxico
525,3130,137_66,18.99962921572,-14.90557340175,,,,,,,
526,1325,137_67,13.91600608826,-10.32529354095,,,,,,,Bengo
530,134,137C_60,13.91686248779,-5.96751785278,,,,,,,Uige e Zaire
532,2228,138_46,16.08067512512,-12.76608848572,,,,,,,Huambo
537,520,138_60,15.22787570953,-7.94920730591,,,,,,,Uige e Zaire
539,2211,138_62,16.96492004395,-12.73570346832,,,,,,,Bie
541,3129,138_66,18.95614265514,-14.82222416064,,,,,,,
542,1320,138_67,13.89234733582,-10.31916904449,,,,,,,Bengo
543,2113,138_69,14.00825977325,-12.49576568604,,,,,,,Benguela
544,759,138_70,15.62534236908,-9.06065750122,,,,,,,Cuanza Norte
546,1143,138C_62,14.6691865921,-9.77656078339,,,,,,,Cuanza Sul
550,2539,139_55,15.35028076172,-13.99825191498,,,,,,,Huila
