row_index,site_info_id,variable,value
202,2690.0,tmax_mean,23.0
261,2676.0,tmax_mean,21.916666666666668
296,2695.0,tmax_mean,23.0
387,2068.0,tmax_mean,23.5
397,2269.0,tmax_mean,22.75
406,2289.0,tmax_mean,23.25
502,629.0,tmax_mean,31.75
518,655.0,tmax_mean,31.75
537,742.0,tmax_mean,31.916666666666668
539,756.0,tmax_mean,31.833333333333332
561,706.0,tmax_mean,31.75
567,2689.0,tmax_mean,23.166666666666668
593,728.0,tmax_mean,31.833333333333332
599,3741.0,tmax_mean,31.833333333333332
641,704.0,tmax_mean,31.833333333333332
744,2732.0,tmax_mean,23.25
785,2699.0,tmax_mean,23.0
10,2215.0,tmin_mean,10.75
22,2698.0,tmin_mean,10.75
202,2690.0,tmin_mean,10.75
261,2676.0,tmin_mean,10.083333333333334
296,2695.0,tmin_mean,10.75
309,168.0,tmin_mean,21.916666666666668
484,334.0,tmin_mean,22.0
520,440.0,tmin_mean,22.083333333333332
524,455.0,tmin_mean,22.0
533,477.0,tmin_mean,22.0
567,2689.0,tmin_mean,10.75
578,355.0,tmin_mean,22.0
582,336.0,tmin_mean,22.0
592,489.0,tmin_mean,22.166666666666668
598,483.0,tmin_mean,22.0
603,454.0,tmin_mean,22.0
692,1945.0,tmin_mean,10.666666666666666
785,2699.0,tmin_mean,10.75
854,2167.0,tmin_mean,10.833333333333334
862,2168.0,tmin_mean,10.833333333333334
45,486.0,precip_sum,1772.9000244140625
59,498.0,precip_sum,1776.60009765625
85,500.0,precip_sum,1776.60009765625
132,514.0,precip_sum,1774.39990234375
222,377.0,precip_sum,1805.5
263,2770.0,precip_sum,93.6999969482422
323,467.0,precip_sum,1765.0001220703125
469,322.0,precip_sum,1760.5999755859375
471,2891.0,precip_sum,190.9000244140625
553,2896.0,precip_sum,176.90000915527344
566,343.0,precip_sum,1766.300048828125
609,2897.0,precip_sum,147.90000915527344
700,342.0,precip_sum,1803.39990234375
724,2799.0,precip_sum,187.59999084472656
754,2828.0,precip_sum,125.89999389648438
763,2819.0,precip_sum,67.19999694824219
767,2814.0,precip_sum,79.80000305175781
825,525.0,precip_sum,1765.7999267578125
857,2648.0,precip_sum,199.20001220703125
894,2572.0,precip_sum,201.3999938964844
1,1927.0,MRRTF,0.0130458426848053
67,1980.0,MRRTF,0.0130458426848053
102,2170.0,MRRTF,8.732576370239258
106,2273.0,MRRTF,8.732576370239258
251,1003.0,MRRTF,0.0130458426848053
387,2068.0,MRRTF,0.0130458426848053
484,334.0,MRRTF,0.0130458426848053
502,629.0,MRRTF,0.0130458426848053
557,682.0,MRRTF,0.0130458426848053
568,1662.0,MRRTF,0.0130458426848053
578,355.0,MRRTF,0.0130458426848053
736,3633.0,MRRTF,8.732576370239258
738,3632.0,MRRTF,8.732576370239258
740,3629.0,MRRTF,8.732576370239258
742,3634.0,MRRTF,8.732576370239258
802,2091.0,MRRTF,8.732576370239258
806,2118.0,MRRTF,8.732576370239258
854,2167.0,MRRTF,8.732576370239258
860,2066.0,MRRTF,0.0130458426848053
862,2168.0,MRRTF,8.732576370239258
98,799.0,MRVBF,0.0317850846052169
103,68.0,MRVBF,8.97576328277588
108,72.0,MRVBF,8.97576328277588
110,74.0,MRVBF,8.97576328277588
111,77.0,MRVBF,8.97576328277588
120,2330.0,MRVBF,0.0317850846052169
127,43.0,MRVBF,8.97576328277588
148,2679.0,MRVBF,0.0317850846052169
158,93.0,MRVBF,8.97576328277588
175,86.0,MRVBF,8.97576328277588
187,79.0,MRVBF,8.97576328277588
212,73.0,MRVBF,8.97576328277588
217,67.0,MRVBF,8.97576328277588
254,977.0,MRVBF,0.0317850846052169
265,881.0,MRVBF,0.0317850846052169
444,2353.0,MRVBF,0.0317850846052169
509,1753.0,MRVBF,0.0317850846052169
538,2593.0,MRVBF,0.0317850846052169
629,1291.0,MRVBF,0.0317850846052169
788,2064.0,MRVBF,0.0317850846052169
5,1532.0,aspect,0.0481632584333419
16,1986.0,aspect,6.210945453643799
53,1904.0,aspect,6.210945453643799
65,2324.0,aspect,0.0481632584333419
104,2658.0,aspect,6.210945453643799
148,2679.0,aspect,0.0481632584333419
159,2181.0,aspect,6.210945453643799
161,1033.0,aspect,0.0481632584333419
178,2184.0,aspect,6.210945453643799
194,2169.0,aspect,0.0481632584333419
330,2220.0,aspect,0.0481632584333419
350,2368.0,aspect,0.0481632584333419
590,281.0,aspect,0.0481632584333419
620,2513.0,aspect,6.210945453643799
659,534.0,aspect,0.0481632584333419
778,2002.0,aspect,0.0481632584333419
799,2092.0,aspect,6.210945453643799
811,2058.0,aspect,6.210945453643799
827,1066.0,aspect,6.210945453643799
830,2334.0,aspect,6.210945453643799
16,1986.0,aspect_cos,0.9994392371177672
53,1904.0,aspect_cos,0.9994392371177672
145,294.0,aspect_cos,-0.9996476268768312
148,2679.0,aspect_cos,0.9994392371177672
161,1033.0,aspect_cos,0.9994392371177672
330,2220.0,aspect_cos,0.9994392371177672
340,599.0,aspect_cos,-0.9996476268768312
350,2368.0,aspect_cos,0.9994392371177672
411,3765.0,aspect_cos,-0.9996476268768312
423,2713.0,aspect_cos,-0.9996476268768312
561,706.0,aspect_cos,-0.9996476268768312
590,281.0,aspect_cos,0.9994392371177672
659,534.0,aspect_cos,0.9994392371177672
725,1985.0,aspect_cos,-0.9996476268768312
744,2732.0,aspect_cos,-0.9996476268768312
791,1250.0,aspect_cos,-0.9996476268768312
803,199.0,aspect_cos,-0.9996476268768312
811,2058.0,aspect_cos,0.9994392371177672
830,2334.0,aspect_cos,0.9994392371177672
837,2395.0,aspect_cos,-0.9996476268768312
17,3145.0,aspect_sin,-0.9996369433403016
67,1980.0,aspect_sin,-0.9996369433403016
142,1446.0,aspect_sin,-0.9996369433403016
160,319.0,aspect_sin,-0.9996369433403016
229,1824.0,aspect_sin,-0.9996369433403016
252,1831.0,aspect_sin,0.998106827735901
274,2389.0,aspect_sin,0.998106827735901
290,289.0,aspect_sin,-0.9996369433403016
314,221.0,aspect_sin,-0.9996369433403016
318,2237.0,aspect_sin,0.998106827735901
364,2468.0,aspect_sin,0.998106827735901
478,503.0,aspect_sin,0.998106827735901
500,338.0,aspect_sin,0.998106827735901
584,657.0,aspect_sin,0.998106827735901
646,2581.0,aspect_sin,-0.9996369433403016
676,2959.0,aspect_sin,0.998106827735901
701,2804.0,aspect_sin,0.998106827735901
740,3629.0,aspect_sin,0.998106827735901
763,2819.0,aspect_sin,-0.9996369433403016
871,2017.0,aspect_sin,-0.9996369433403016
22,2698.0,dem_1km_utm33s,1889.3112695312495
148,2679.0,dem_1km_utm33s,1889.3112695312495
152,91.0,dem_1km_utm33s,23.8266316986084
158,93.0,dem_1km_utm33s,23.8266316986084
202,2690.0,dem_1km_utm33s,1889.3112695312495
212,73.0,dem_1km_utm33s,23.8266316986084
225,2155.0,dem_1km_utm33s,23.8266316986084
261,2676.0,dem_1km_utm33s,1889.3112695312495
272,125.0,dem_1km_utm33s,23.8266316986084
296,2695.0,dem_1km_utm33s,1889.3112695312495
309,168.0,dem_1km_utm33s,23.8266316986084
379,112.0,dem_1km_utm33s,23.8266316986084
397,2269.0,dem_1km_utm33s,1889.3112695312495
406,2289.0,dem_1km_utm33s,1889.3112695312495
484,334.0,dem_1km_utm33s,23.8266316986084
567,2689.0,dem_1km_utm33s,1889.3112695312495
578,355.0,dem_1km_utm33s,23.8266316986084
592,489.0,dem_1km_utm33s,23.8266316986084
744,2732.0,dem_1km_utm33s,1889.3112695312495
785,2699.0,dem_1km_utm33s,1889.3112695312495
